SOURCE,BUSINESS NAME,COMPANIES HOUSE NO,INCORPORATION DATE,REGISTERED ADDRESS,POSTCODE,AREA,SIC CODES,SIC DESCRIPTION,PHYSICAL SHOP LIKELY?,NOTES,COMPANIES HOUSE URL
Companies House,LONDON JEWELS LTD,16221197,31/01/2025,"413 Alexandra Avenue, Rayners Lane, Harrow",HA2,Harrow,,Jewellery Retail,Unknown,Residential address - may be home-based,"https://find-and-update.company-information.service.gov.uk/company/16221197"
Companies House,DELIGHT JEWEL LIMITED,16253110,14/02/2025,"71-75 Shelton Street, Covent Garden",WC2H 9JQ,Covent Garden,47770,Retail sale of watches and jewellery,Unlikely,71-75 Shelton Street is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16253110"
Companies House,JB JEWELLERY LONDON LIMITED,16300036,07/03/2025,"29 Hatton Garden, 3rd Floor",EC1N 8AJ,Hatton Garden,,Jewellery Retail,Possible,Hatton Garden is London's jewellery quarter - address may be a real office or shop,"https://find-and-update.company-information.service.gov.uk/company/16300036"
Companies House,OPULENT JEWEL DYNASTY LTD,16279138,26/02/2025,"3rd Floor, 86-90 Paul Street",EC2A 4NE,Shoreditch,46480 / 47770,Wholesale & Retail Jewellery,Unlikely,86-90 Paul Street is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16279138"
Companies House,ARIAN GOLD GROUP LTD,16338835,24/03/2025,"Bb69 Capital House, 61 Amhurst Road",E8 1LL,Hackney,46480 / 47770 / 74100 / 90030,Wholesale & Retail Jewellery + Design + Arts,Possible,Mixed SIC codes suggest design/arts focus alongside retail,"https://find-and-update.company-information.service.gov.uk/company/16338835"
Companies House,GEMS & JEWELS LIMITED,16364902,04/04/2025,"10 Oxford Avenue",SW20 8LT,Wimbledon,47770,Retail sale of watches and jewellery,Possible,Residential address - may be home-based or online,"https://find-and-update.company-information.service.gov.uk/company/16364902"
Companies House,CEYLON DIVINE GEMS LTD,16375506,09/04/2025,"182-184 High Street North",E6 2JA,East Ham,47770,Retail sale of watches and jewellery,Yes,High Street address suggests physical retail,"https://find-and-update.company-information.service.gov.uk/company/16375506"
Companies House,THE DIAMOND VAULT & CO LTD,16399887,22/04/2025,"3rd Floor, 86-90 Paul Street",EC2A 4NE,Shoreditch,47770,Retail sale of watches and jewellery,Unlikely,86-90 Paul Street is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16399887"
Companies House,HER NELLIEB BOUTIQUE LIMITED,16399724,22/04/2025,"167-169 Great Portland Street, 5th Floor",W1W 5PF,Fitzrovia,47770,Retail sale of watches and jewellery,Unlikely,5th Floor suggests office/virtual address not shopfront,"https://find-and-update.company-information.service.gov.uk/company/16399724"
Companies House,RADIANT GOLD & SILVER LTD,16405596,24/04/2025,"71-75 Shelton Street, Covent Garden",WC2H 9JQ,Covent Garden,,Jewellery Retail,Unlikely,71-75 Shelton Street is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16405596"
Companies House,JEWEL FOR HER LTD,16406568,24/04/2025,"71-75 Shelton Street, Covent Garden",WC2H 9JQ,Covent Garden,46480 / 47770 / 47820,Wholesale / Retail Jewellery / Market stalls,Possible,Market stall SIC code (47820) suggests physical trading,"https://find-and-update.company-information.service.gov.uk/company/16406568"
Companies House,WILTSHIRE SILVER COMPANY LTD,16465512,21/05/2025,"128 City Road",EC1V 2NX,Shoreditch / Old Street,,Jewellery Retail,Unlikely,128 City Road is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16465512"
Companies House,PINK AND TICKLE BOUTIQUE LTD,16547315,27/06/2025,"3rd Floor, 86-90 Paul Street",EC2A 4NE,Shoreditch,47770,Retail sale of watches and jewellery,Unlikely,86-90 Paul Street is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16547315"
Companies House,BIBI JEWEL LIMITED,16577759,11/07/2025,"Simon House, 2 Eaton Gate",SW1W 9BJ,Chelsea / Belgravia,32120 / 47770,Jewellery Manufacture & Retail,Possible,Belgravia address; dual manufacture+retail SIC suggests a maker,"https://find-and-update.company-information.service.gov.uk/company/16577759"
Companies House,SAVARNA GEMS AND JEWELLERY LTD,16622535,01/08/2025,"71-75 Shelton Street, Covent Garden",WC2H 9JQ,Covent Garden,47770,Retail sale of watches and jewellery,Unlikely,71-75 Shelton Street is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16622535"
Companies House,FSS JEWELLERY LTD,16655066,17/08/2025,"Flat 701, 144 Wales Farm Road",W3,Acton,,Jewellery Retail,No,Residential flat address - likely home-based,"https://find-and-update.company-information.service.gov.uk/company/16655066"
Companies House,SAMFI BOUTIQUE LTD,16712507,11/09/2025,"243 Shrewsbury Road",E7 8QH,Forest Gate,47770,Retail sale of watches and jewellery,Possible,Residential street but may have a shopfront,"https://find-and-update.company-information.service.gov.uk/company/16712507"
Companies House,LUSTRE GEMS LIMITED,16796217,20/10/2025,"124-128 City Road",EC1V 2NX,Old Street,47770,Retail sale of watches and jewellery,Unlikely,124-128 City Road is a virtual office address,"https://find-and-update.company-information.service.gov.uk/company/16796217"
Editorial - Dezeen/Press,AZZA FAHMY,N/A,2025 (new boutique),"Burlington Arcade, 51 Piccadilly",W1J 0PR,Mayfair / St James's,N/A,Luxury jewellery retail,Yes,"Egyptian heritage jewellery brand; moved to new larger 3-storey boutique in Burlington Arcade in June 2025. Designer: Azza Fahmy. Website: azzafahmy.com",
Editorial - Press,LILY GABRIELLA,N/A,2024/2025 (new boutique),"Burlington Arcade, 51 Piccadilly",W1J 0PR,Mayfair / St James's,N/A,Luxury jewellery retail,Yes,Fine jewellery designer; opened first London boutique in Burlington Arcade. Website: lilygabriella.com,
Editorial - Press,RACHEL BOSTON,N/A,2024/2025 (new location),"Redchurch Street",E2,Shoreditch,N/A,Bespoke / bridal jewellery retail,Yes,Bold bespoke jewellery; moved boutique-cum-workshop to Redchurch Street. Website: rachelboston.co.uk,
Editorial - Timeout,MAYA MAGAL,N/A,Established (flagship),"Multiple: Islington / Notting Hill / Coal Drops Yard",N1 / W11 / N1C,Islington / Notting Hill / Kings Cross,N/A,Minimalist fine jewellery retail,Yes,Affordable minimalist London jeweller. Website: mayamagal.co.uk,
Editorial - Timeout,WEAREARROW,N/A,Established,"Columbia Road, Bethnal Green",E2,Bethnal Green,N/A,Handmade nature-inspired jewellery,Yes,Nature-inspired work by founder Tatiana Andrea. Website: wearearrow.com,
Editorial - Timeout,JESSICA DE LOTZ,N/A,Established,Kentish Town,,Kentish Town,N/A,Bespoke antique-inspired jewellery,Yes,Antiquey aesthetic with stamps and wax seals. Website: jdelotz.com,
